frame,animal_0_Nose_x,animal_0_Nose_y,animal_0_Mid-center_x,animal_0_Mid-center_y,animal_0_Tail-base_x,animal_0_Tail-base_y,animal_1_Nose_x,animal_1_Nose_y,animal_1_Mid-center_x,animal_1_Mid-center_y,animal_1_Tail-base_x,animal_1_Tail-base_y
0,1084.76770019531,668.150512695313,1036.45654296875,580.125854492188,1064.49206542969,519.845947265625,468.034820556641,640.36474609375,348.765380859375,632.926452636719,272.341735839844,604.680114746094
1,1109.8968882886447,673.3597272872282,1047.4962749525234,584.6736232138124,1057.7340917789672,502.94097436236694,468.005920410156,640.488891601563,348.639556884766,632.845886230469,272.242401123047,604.654968261719
2,1123.7533980599303,668.3815835252159,1052.9116352797405,586.0608031337831,1054.7663545195835,502.35731091541294,467.955902099609,640.543823242188,348.667114257813,632.771484375,272.312194824219,604.493469238281
3,1132.3046875,640.368408203125,1048.15209960938,584.802124023438,1060.39245605469,516.187255859375,464.711151123047,640.474792480469,348.520965576172,632.748779296875,272.239685058594,604.510681152344
4,1159.651885885294,657.8793906400304,1068.4539217482618,594.0452976638649,1049.0942124695162,509.3839265208376,464.816284179688,640.426635742188,348.592346191406,632.610717773438,272.301849365234,604.4443359375
5,1174.5121104490634,654.4541738380968,1075.1134818242035,598.1426788223923,1047.3723989141906,515.4190982074667,464.818420410156,640.424194335938,348.592895507813,632.608215332031,272.293395996094,604.436889648438
6,1184.34301757813,632.431274414063,1068.5078125,608.265502929688,1048.8681640625,528.160766601563,464.779571533203,640.378356933594,348.612609863281,632.623229980469,272.246276855469,604.43115234375
7,1204.89514160156,632.709228515625,1088.67260742188,616.570556640625,1048.16027832031,540.185913085938,464.712829589844,640.449096679688,348.560211181641,632.55224609375,272.222106933594,604.416442871094
8,1236.56420898438,636.61865234375,1112.52099609375,621.004150390625,1048.51867675781,564.120422363281,464.719085693359,640.481994628906,348.566802978516,632.572998046875,272.207824707031,604.375244140625
9,1272.52685546875,640.368225097656,1160.63269042969,628.788452148438,1068.248046875,592.114013671875,464.657684326172,640.557250976563,348.520446777344,632.64306640625,272.148498535156,604.485961914063
10,1308.25708007813,636.087646484375,1200.65148925781,632.69775390625,1101.1503432730628,611.2107317935039,464.517639160156,640.589233398438,348.310729980469,632.629577636719,272.068481445313,604.495727539063
11,1340.54077148438,633.006958007813,1236.3330078125,633.591003417969,1130.789860927042,636.9973202263351,464.706604003906,640.505920410156,348.523376464844,632.552368164063,272.174041748047,604.3984375
12,1372.40576171875,632.444091796875,1260.48071289063,636.356628417969,1160.1906428143714,627.5523537874358,464.709075927734,640.559448242188,348.528106689453,632.661499023438,272.177886962891,604.433837890625
13,1392.00964355469,632.166015625,1276.3544921875,636.451110839844,1191.9990234375,628.537170410156,464.4033203125,640.57568359375,348.205383300781,632.646423339844,271.926971435547,604.46142578125
14,1396.76098632813,628.647155761719,1284.5048828125,636.084228515625,1200.3056640625,632.079406738281,464.703765869141,640.542236328125,348.319396972656,632.6494140625,271.966186523438,604.446228027344
15,1400.62329101563,624.170837402344,1288.17810058594,636.618041992188,1203.9140625,632.425109863281,464.637725830078,640.550415039063,348.301208496094,632.685302734375,271.919830322266,604.470458984375
16,1400.75756835938,620.080322265625,1288.19653320313,640.572143554688,1204.671875,632.598815917969,464.50146484375,640.60888671875,348.255249023438,632.7958984375,271.834564208984,604.554077148438
17,1404.17138671875,616.442443847656,1288.88854980469,640.857177734375,1208.38745117188,632.819519042969,464.45928955078097,640.563293457031,348.220245361328,632.792663574219,271.889465332031,604.529296875
18,1400.64514160156,616.68603515625,1292.125,640.583312988281,1208.41748046875,629.37548828125,464.622497558594,640.503784179688,348.272094726563,632.881896972656,271.893768310547,604.554382324219
19,1400.22961425781,616.371215820313,1288.69091796875,636.846008300781,1208.14782714844,628.992309570313,464.782196044922,640.506286621094,348.361206054688,632.9150390625,271.888549804688,604.58056640625
20,1404.17919921875,612.383483886719,1292.28759765625,636.295959472656,1204.94409179688,628.834655761719,464.86669921875,640.506469726563,348.427001953125,632.847961425781,271.905090332031,604.540893554688
21,1408.21813964844,608.616027832031,1296.20678710938,632.709045410156,1204.94213867188,632.06640625,464.935211181641,640.539306640625,348.483520507813,632.877136230469,271.936645507813,604.587280273438
22,1411.88745117188,604.119873046875,1296.52856445313,632.436950683594,1204.49755859375,632.218811035156,464.674926757813,640.549499511719,348.367706298828,632.871704101563,271.867858886719,604.595520019531
23,1412.01879882813,596.487243652344,1296.63879394531,632.153076171875,1204.30847167969,632.38623046875,464.618255615234,640.571105957031,348.295989990234,632.807556152344,271.886291503906,604.5810546875
24,1408.56555175781,596.804626464844,1296.28845214844,632.590148925781,1204.02453613281,633.204956054688,464.779510498047,640.512573242188,348.345275878906,632.862487792969,271.942932128906,604.61962890625
25,1408.77233886719,596.645141601563,1296.43017578125,632.324829101563,1204.27294921875,633.208251953125,464.818145751953,640.537353515625,348.406188964844,632.9111328125,271.891235351563,604.676513671875
26,1408.48583984375,596.50927734375,1295.99487304688,632.49951171875,1203.92932128906,636.36669921875,464.717620849609,640.487365722656,348.298614501953,632.842224121094,271.848205566406,604.606750488281
27,1407.95739746094,596.427001953125,1292.78405761719,632.445434570313,1204.0751953125,636.020141601563,464.572601318359,640.498962402344,348.288940429688,632.809448242188,271.863067626953,604.59033203125
