Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
0428_18_55_10,Exp_social,57.5,58.56666666666667,1725,1756,1.0666666666666667
0428_18_55_10,Exp_social,133.56666666666666,140.0,4007,4199,6.433333333333334
0428_18_55_10,Exp_social,141.93333333333334,143.66666666666666,4258,4309,1.7333333333333334
0428_18_55_10,Exp_social,145.2,146.66666666666666,4356,4399,1.4666666666666666
0428_18_55_10,Exp_social,148.63333333333333,149.13333333333333,4459,4473,0.5
0428_18_55_10,Exp_social,150.33333333333334,150.83333333333334,4510,4524,0.5
0428_18_55_10,Exp_social,156.53333333333333,157.26666666666668,4696,4717,0.7333333333333333
0428_18_55_10,Exp_social,164.7,165.4,4941,4961,0.7
0428_18_55_10,Exp_social,178.36666666666667,179.2,5351,5375,0.8333333333333334
0428_18_55_10,Exp_social,220.53333333333333,221.16666666666666,6616,6634,0.6333333333333333
0428_18_55_10,Exp_social,284.3666666666667,286.03333333333336,8531,8580,1.6666666666666667
0428_18_55_10,Exp_social,430.3666666666667,433.7,12911,13010,3.3333333333333335
0428_18_55_10,Exp_social,482.2,483.3,14466,14498,1.1
0428_18_55_10,Exp_social,566.5666666666667,567.3666666666667,16997,17020,0.8
0428_18_55_10,Exp_social,592.3,593.3666666666667,17769,17800,1.0666666666666667
0428_18_55_10,Exp_withdraw,16.0,17.366666666666667,480,520,1.3666666666666667
0428_18_55_10,Exp_withdraw,26.033333333333335,27.7,781,830,1.6666666666666667
0428_18_55_10,Exp_withdraw,50.733333333333334,51.2,1522,1535,0.4666666666666667
0428_18_55_10,Exp_withdraw,56.46666666666667,57.43333333333333,1694,1722,0.9666666666666667
0428_18_55_10,Exp_withdraw,61.46666666666667,61.833333333333336,1844,1854,0.36666666666666664
0428_18_55_10,Exp_withdraw,67.0,68.0,2010,2039,1.0
0428_18_55_10,Exp_withdraw,80.73333333333333,83.86666666666666,2422,2515,3.1333333333333333
0428_18_55_10,Exp_withdraw,127.9,128.3,3837,3848,0.4
0428_18_55_10,Exp_withdraw,129.13333333333333,131.0,3874,3929,1.8666666666666667
0428_18_55_10,Exp_withdraw,132.6,133.23333333333332,3978,3996,0.6333333333333333
0428_18_55_10,Exp_withdraw,155.2,155.53333333333333,4656,4665,0.3333333333333333
0428_18_55_10,Exp_withdraw,175.26666666666668,177.66666666666666,5258,5329,2.4
0428_18_55_10,Exp_withdraw,183.13333333333333,184.8,5494,5543,1.6666666666666667
0428_18_55_10,Exp_withdraw,266.03333333333336,268.3333333333333,7981,8049,2.3
0428_18_55_10,Exp_withdraw,415.03333333333336,425.0,12451,12749,9.966666666666667
0428_18_55_10,Exp_withdraw,462.56666666666666,462.8666666666667,13877,13885,0.3
0428_18_55_10,Exp_withdraw,496.96666666666664,498.03333333333336,14909,14940,1.0666666666666667
0428_18_55_10,Exp_withdraw,519.0333333333333,519.7333333333333,15571,15591,0.7
0428_18_55_10,Exp_withdraw,560.8333333333334,565.2666666666667,16825,16957,4.433333333333334
0428_18_55_10,Exp_withdraw,582.7333333333333,583.9666666666667,17482,17518,1.2333333333333334
0428_18_55_10,Exp_withdraw,584.3333333333334,584.6333333333333,17530,17538,0.3
