Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,2026-04-09 20:06:57.764,,Media file,player #1:WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,0.0,579.934,719.233,30.000,No focal subject,27.736,Start,Not defined,POINT,115.733,115.733,NA,WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,3472,3472,,,,
WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,2026-04-09 20:06:57.764,,Media file,player #1:WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,0.0,579.934,719.233,30.000,No focal subject,27.736,E: E-I-social behavior,prosocial behavior,STATE,122.967,123.867,0.900,WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,3689,3716,,,,
WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,2026-04-09 20:06:57.764,,Media file,player #1:WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,0.0,579.934,719.233,30.000,No focal subject,27.736,E: E-I-social behavior,prosocial behavior,STATE,126.500,126.767,0.267,WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,3795,3803,,,,
WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,2026-04-09 20:06:57.764,,Media file,player #1:WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,0.0,579.934,719.233,30.000,No focal subject,27.736,E: E-I-social behavior,prosocial behavior,STATE,128.733,131.433,2.700,WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,3862,3943,,,,
WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,2026-04-09 20:06:57.764,,Media file,player #1:WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,0.0,579.934,719.233,30.000,No focal subject,27.736,E: E-I-social behavior,prosocial behavior,STATE,132.300,133.667,1.367,WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,3969,4010,,,,
WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,2026-04-09 20:06:57.764,,Media file,player #1:WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,0.0,579.934,719.233,30.000,No focal subject,27.736,E: E-I-social behavior,prosocial behavior,STATE,134.033,134.533,0.500,WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,4021,4036,,,,
WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,2026-04-09 20:06:57.764,,Media file,player #1:WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,0.0,579.934,719.233,30.000,No focal subject,27.736,E: E-I-social behavior,prosocial behavior,STATE,135.100,139.233,4.133,WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,4053,4177,,,,
WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,2026-04-09 20:06:57.764,,Media file,player #1:WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,0.0,579.934,719.233,30.000,No focal subject,27.736,E: E-I-social behavior,prosocial behavior,STATE,139.700,140.233,0.533,WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,4191,4207,,,,
WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,2026-04-09 20:06:57.764,,Media file,player #1:WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,0.0,579.934,719.233,30.000,No focal subject,27.736,E: E-I-social behavior,prosocial behavior,STATE,142.333,144.167,1.834,WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,4270,4325,,,,
WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,2026-04-09 20:06:57.764,,Media file,player #1:WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,0.0,579.934,719.233,30.000,No focal subject,27.736,E: E-I-social behavior,prosocial behavior,STATE,145.033,145.333,0.300,WIN_20250428_19_12_12_Pro_adj - Made with Clipchamp.mp4,4351,4360,,,,
