Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,Start,Not defined,POINT,95.667,95.667,NA,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2870,2870,,,,
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,E: E-I-social behavior,prosocial behavior,STATE,109.400,112.267,2.867,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,3283,3368,,,,
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,E: E-I-freezing/no response,social avoidance,STATE,112.400,116.000,3.600,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,3372,3480,,,,
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,E: I-E-freezing/no response,social avoidance,STATE,122.933,124.867,1.934,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,3688,3746,,,,
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,E: I-E-freezing/no response,social avoidance,STATE,128.600,129.733,1.133,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,3858,3892,,,,
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,E: I-E-freezing/no response,social avoidance,STATE,134.733,137.033,2.300,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,4042,4111,,,,
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,E: I-E-freezing/no response,social avoidance,STATE,147.533,149.500,1.967,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,4426,4485,,,,
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,E: I-E-freezing/no response,social avoidance,STATE,152.067,159.533,7.466,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,4562,4786,,,,
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,E: I-E-freezing/no response,social avoidance,STATE,163.067,166.733,3.666,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,4892,5002,,,,
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,E: I-E-freezing/no response,social avoidance,STATE,174.533,180.900,6.367,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,5236,5427,,,,
WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,2026-04-26 08:36:10.175,,Media file,player #1:WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,0.0,594.433,712.667,30.000,No focal subject,106.929,E: I-E-freezing/no response,social avoidance,STATE,188.467,189.600,1.133,WIN_20250428_18_55_10_Pro_adj - Made with Clipchamp.mp4,5654,5688,,,,
