Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,100.133,115.433,15.300,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,3004,3463,,,short simultaneously social in between,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,116.000,116.900,0.900,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,3480,3507,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,118.367,129.467,11.100,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,3551,3884,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,131.033,138.033,7.000,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,3931,4141,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,139.400,140.767,1.367,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,4182,4223,,,simultaneously social in betwee,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,146.933,147.100,0.167,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,4408,4413,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,149.533,149.833,0.300,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,4486,4495,,,simultaneous social ,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,168.367,170.167,1.800,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,5051,5105,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,170.933,171.267,0.334,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,5128,5138,,,,
WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,2026-04-23 20:26:38.540,,Media file,player #1:WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,0.0,611.233,719.367,30.000,No focal subject,102.7,E: E-I-social behavior,prosocial behavior,STATE,173.767,178.400,4.633,WIN_20250428_21_19_29_Pro_adj - Made with Clipchamp.mp4,5213,5352,,,,
