Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,Start,Not defined,POINT,83.633,83.633,NA,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2509,2509,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-social behavior,prosocial behavior,STATE,84.033,84.633,0.600,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2521,2539,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,84.033,84.700,0.667,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2521,2541,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: E-I-social behavior,prosocial behavior,STATE,94.900,96.500,1.600,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2847,2895,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,94.967,96.500,1.533,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2849,2895,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,102.367,103.667,1.300,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,3071,3110,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,129.233,130.300,1.067,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,3877,3909,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-avoidance,social avoidance,STATE,131.433,131.767,0.334,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,3943,3953,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,E: I-E-freezing/no response,social avoidance,STATE,139.033,144.067,5.034,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,4171,4322,,,,
WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,2026-04-02 20:49:41.855,,Media file,player #1:WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,0.0,595.167,687.500,30.000,No focal subject,150.366,I: I-E-social behavior,prosocial behavior,STATE,139.500,143.133,3.633,WIN_20250428_17_59_14_Pro_adj - Made with Clipchamp.mp4,4185,4294,,,,
